target_query,serp_position,serp_url,suggested_url,rank_on_wrong_url,type,rationale,priority
psychiatrist orlando,Not in top 20,N/A,https://empathyhealthclinic.com/psychiatrist-orlando/,False,create-landing,Not ranking in top 20 - create dedicated Orlando landing page,high
psychiatry orlando,Not in top 20,N/A,https://empathyhealthclinic.com/psychiatry-orlando/,False,create-landing,Not ranking in top 20 - create dedicated Orlando landing page,high
child psychiatrist orlando,Not in top 20,N/A,https://empathyhealthclinic.com/child-psychiatrist-orlando/,False,create-landing,Not ranking in top 20 - create dedicated Orlando landing page,high
adhd psychiatrist orlando,Not in top 20,N/A,https://empathyhealthclinic.com/adhd-psychiatrist-orlando/,False,create-landing,Not ranking in top 20 - create dedicated Orlando landing page,high
anxiety psychiatrist orlando,7,https://empathyhealthclinic.com/,https://empathyhealthclinic.com/anxiety-psychiatrist-orlando/,False,improve-landing,Position 7 (Page 1) - optimize title/meta/content to push into Top 3,medium
bipolar psychiatrist orlando,Not in top 20,N/A,https://empathyhealthclinic.com/bipolar-psychiatrist-orlando/,False,create-landing,Not ranking in top 20 - create dedicated Orlando landing page,high
medication management orlando,Not in top 20,N/A,https://empathyhealthclinic.com/medication-management-orlando/,False,create-landing,Not ranking in top 20 - create dedicated Orlando landing page,high
telepsychiatry orlando,1,https://empathyhealthclinic.com/telepsychiatry-orlando,https://empathyhealthclinic.com/telepsychiatry-orlando/,False,supporting-blog,Position 1 (Top 3) - defend with supporting content and internal links,low
same day psychiatrist orlando,3,https://empathyhealthclinic.com/same-day-psychiatrist-orlando,https://empathyhealthclinic.com/same-day-psychiatrist-orlando/,False,supporting-blog,Position 3 (Top 3) - defend with supporting content and internal links,low
psychiatrist orlando accepts cigna,Not in top 20,N/A,https://empathyhealthclinic.com/psychiatrist-orlando-takes-cigna/,False,create-landing,Not ranking in top 20 - create dedicated Orlando landing page,high
psychiatrist orlando accepts bcbs,5,https://empathyhealthclinic.com/,https://empathyhealthclinic.com/psychiatrist-orlando-takes-bcbs/,False,improve-landing,Position 5 (Page 1) - optimize title/meta/content to push into Top 3,medium
psychiatrist orlando accepts umr,6,https://empathyhealthclinic.com/umr-umr-coverage,https://empathyhealthclinic.com/psychiatrist-orlando-takes-umr/,False,improve-landing,Position 6 (Page 1) - optimize title/meta/content to push into Top 3,medium
